log_id,node_id,json_status,http_response_code,response_time_ms,load_val,L_V1
218,12,OPERATIONAL,429,222,0.8527848729810362,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
203,266,OPERATIONAL,200,135,0.4443059817198233,
5027,57,OPERATIONAL,200,110,,0.2269332694148047
81,339,OPERATIONAL,200,105,0.5972230830756444,
305,345,OPERATIONAL,200,138,0.8008374460953448,
3841,12,OPERATIONAL,206,223,0.871129003875538,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
310,266,OPERATIONAL,200,125,0.49684108908758196,
213,57,OPERATIONAL,200,104,0.7389490286426352,
1063,339,OPERATIONAL,200,127,0.3042952060469888,
305,345,OPERATIONAL,200,138,0.8008374460953448,
218,12,OPERATIONAL,429,222,0.8527848729810362,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
343,266,OPERATIONAL,200,132,0.8318256032516534,
463,57,OPERATIONAL,200,114,0.5799813143657916,
1682,339,OPERATIONAL,200,127,0.6330015240320236,
305,345,OPERATIONAL,200,138,0.8008374460953448,
3841,12,OPERATIONAL,206,223,0.871129003875538,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
496,266,OPERATIONAL,200,129,0.13527304846269397,
466,57,OPERATIONAL,200,137,0.5872355800800799,
5385,339,OPERATIONAL,200,135,,0.6351813457653066
305,345,OPERATIONAL,200,138,0.8008374460953448,
478,12,OPERATIONAL,429,241,0.7518314464408179,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
1033,266,OPERATIONAL,200,107,0.1492384603933414,
630,57,OPERATIONAL,200,103,0.7782982618923293,
2958,339,OPERATIONAL,200,107,0.8515092358242436,
305,345,OPERATIONAL,200,138,0.8008374460953448,
218,12,OPERATIONAL,429,222,0.8527848729810362,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
2239,266,OPERATIONAL,200,119,0.5995643132568765,
727,57,OPERATIONAL,200,112,0.19596316479218406,
5528,339,OPERATIONAL,200,114,,0.5276078437035626
305,345,OPERATIONAL,200,138,0.8008374460953448,
3841,12,OPERATIONAL,206,223,0.871129003875538,
1761,416,OPERATIONAL,429,222,0.5211327351204766,
